<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAL.US,5,20200812,153000,14.04,14.06,13.725,13.8419,4146686,0
AAL.US,5,20200812,153500,13.845,14.02,13.845,13.9381,2372701,0
AAL.US,5,20200812,154000,13.91,13.99,13.88,13.97,1240985,0
AAL.US,5,20200812,154500,13.9626,13.98,13.76,13.79,1746502,0
AAL.US,5,20200812,155000,13.79,13.8,13.55,13.6499,2701507,0
AAL.US,5,20200812,155500,13.6499,13.845,13.61,13.7628,1971060,0
AAL.US,5,20200812,160000,13.76,13.775,13.62,13.72,1196873,0
AAL.US,5,20200812,160500,13.715,13.7938,13.66,13.7681,1045823,0
AAL.US,5,20200812,161000,13.76,13.85,13.74,13.78,940006,0
AAL.US,5,20200812,161500,13.785,13.84,13.74,13.835,915053,0
AAL.US,5,20200812,162000,13.835,13.9,13.82,13.85,1144592,0
AAL.US,5,20200812,162500,13.86,13.89,13.77,13.8,784610,0
AAL.US,5,20200812,163000,13.8,13.85,13.7504,13.79,754586,0
AAL.US,5,20200812,163500,13.795,13.81,13.625,13.645,1057686,0
AAL.US,5,20200812,164000,13.65,13.73,13.64,13.725,784025,0
AAL.US,5,20200812,164500,13.725,13.74,13.66,13.68,690910,0
AAL.US,5,20200812,165000,13.67,13.7,13.55,13.5601,1441357,0
AAL.US,5,20200812,165500,13.565,13.5682,13.4,13.4067,2144449,0
AAL.US,5,20200812,170000,13.41,13.52,13.37,13.4503,1668063,0
AAL.US,5,20200812,170500,13.455,13.52,13.35,13.375,1385253,0
AAL.US,5,20200812,171000,13.3799,13.3981,13.11,13.135,3332086,0
AAL.US,5,20200812,171500,13.135,13.25,13.1,13.2299,2533357,0
AAL.US,5,20200812,172000,13.235,13.32,13.22,13.2781,1218153,0
AAL.US,5,20200812,172500,13.2777,13.3999,13.24,13.395,1320301,0
AAL.US,5,20200812,173000,13.395,13.44,13.34,13.37,1208956,0
AAL.US,5,20200812,173500,13.37,13.38,13.27,13.3099,783166,0
AAL.US,5,20200812,174000,13.305,13.35,13.28,13.31,509395,0
AAL.US,5,20200812,174500,13.31,13.3579,13.22,13.2325,684683,0
AAL.US,5,20200812,175000,13.24,13.27,13.2,13.24,646919,0
AAL.US,5,20200812,175500,13.2398,13.3075,13.23,13.28,546629,0
AAL.US,5,20200812,180000,13.28,13.33,13.24,13.325,404785,0
AAL.US,5,20200812,180500,13.3203,13.33,13.28,13.29,633218,0
AAL.US,5,20200812,181000,13.29,13.3,13.2535,13.2855,400943,0
AAL.US,5,20200812,181500,13.2891,13.375,13.2801,13.3607,477146,0
AAL.US,5,20200812,182000,13.36,13.42,13.35,13.402,614332,0
AAL.US,5,20200812,182500,13.41,13.47,13.4,13.4625,1153396,0
AAL.US,5,20200812,183000,13.465,13.52,13.45,13.495,1128847,0
AAL.US,5,20200812,183500,13.495,13.495,13.4303,13.49,943521,0
AAL.US,5,20200812,184000,13.485,13.49,13.45,13.4501,663432,0
AAL.US,5,20200812,184500,13.45,13.46,13.39,13.4,729018,0
AAL.US,5,20200812,185000,13.4031,13.45,13.4,13.4399,604705,0
AAL.US,5,20200812,185500,13.44,13.4498,13.36,13.37,681029,0
AAL.US,5,20200812,190000,13.37,13.4,13.36,13.395,425473,0
AAL.US,5,20200812,190500,13.395,13.405,13.34,13.35,495613,0
AAL.US,5,20200812,191000,13.3439,13.37,13.32,13.355,588527,0
AAL.US,5,20200812,191500,13.36,13.36,13.27,13.31,619954,0
AAL.US,5,20200812,192000,13.32,13.36,13.305,13.3599,381376,0
AAL.US,5,20200812,192500,13.355,13.43,13.355,13.415,715881,0
AAL.US,5,20200812,193000,13.42,13.47,13.38,13.3899,725829,0
AAL.US,5,20200812,193500,13.39,13.44,13.38,13.3881,483987,0
AAL.US,5,20200812,194000,13.39,13.3981,13.36,13.37,310214,0
AAL.US,5,20200812,194500,13.37,13.37,13.311,13.36,444121,0
AAL.US,5,20200812,195000,13.36,13.4,13.355,13.38,326203,0
AAL.US,5,20200812,195500,13.3833,13.43,13.38,13.4,405144,0
AAL.US,5,20200812,200000,13.41,13.42,13.37,13.382,452281,0
AAL.US,5,20200812,200500,13.385,13.4075,13.37,13.3901,242745,0
AAL.US,5,20200812,201000,13.4,13.43,13.37,13.42,249974,0
AAL.US,5,20200812,201500,13.42,13.4499,13.4,13.4369,484587,0
AAL.US,5,20200812,202000,13.435,13.46,13.4025,13.45,473084,0
AAL.US,5,20200812,202500,13.46,13.53,13.44,13.4906,986888,0
AAL.US,5,20200812,203000,13.495,13.535,13.48,13.505,739089,0
AAL.US,5,20200812,203500,13.505,13.575,13.505,13.545,1014217,0
AAL.US,5,20200812,204000,13.545,13.55,13.5,13.5048,405074,0
AAL.US,5,20200812,204500,13.505,13.56,13.49,13.555,590345,0
AAL.US,5,20200812,205000,13.56,13.59,13.53,13.555,559573,0
AAL.US,5,20200812,205500,13.56,13.65,13.55,13.615,735197,0
AAL.US,5,20200812,210000,13.62,13.63,13.52,13.535,705131,0
AAL.US,5,20200812,210500,13.54,13.6,13.535,13.6,378758,0
AAL.US,5,20200812,211000,13.595,13.62,13.57,13.5921,476273,0
AAL.US,5,20200812,211500,13.595,13.6,13.54,13.56,517383,0
AAL.US,5,20200812,212000,13.555,13.57,13.53,13.555,331939,0
AAL.US,5,20200812,212500,13.555,13.585,13.547,13.5558,511961,0
AAL.US,5,20200812,213000,13.56,13.565,13.5,13.525,562792,0
AAL.US,5,20200812,213500,13.523,13.55,13.51,13.53,401759,0
AAL.US,5,20200812,214000,13.53,13.58,13.5119,13.56,430723,0
AAL.US,5,20200812,214500,13.56,13.57,13.535,13.5424,522046,0
AAL.US,5,20200812,215000,13.55,13.59,13.54,13.56,769561,0
AAL.US,5,20200812,215500,13.56,13.57,13.53,13.54,1438993,0
AAL.US,5,20200813,153000,13.17,13.42,13.11,13.39,2503680,0
AAL.US,5,20200813,153500,13.395,13.5,13.3,13.305,947833,0
AAL.US,5,20200813,154000,13.3062,13.43,13.282,13.415,650248,0
AAL.US,5,20200813,154500,13.41,13.49,13.35,13.4854,1022902,0
AAL.US,5,20200813,155000,13.49,13.86,13.49,13.7934,2178892,0
AAL.US,5,20200813,155500,13.7927,13.8101,13.6701,13.7132,1519454,0
AAL.US,5,20200813,160000,13.71,13.9,13.7,13.885,1435157,0
AAL.US,5,20200813,160500,13.88,13.88,13.75,13.7519,1019445,0
AAL.US,5,20200813,161000,13.755,13.83,13.6701,13.6919,1446733,0
AAL.US,5,20200813,161500,13.69,13.78,13.64,13.72,981641,0
AAL.US,5,20200813,162000,13.72,13.72,13.5723,13.615,922570,0
AAL.US,5,20200813,162500,13.615,13.6781,13.55,13.57,1104330,0
AAL.US,5,20200813,163000,13.57,13.59,13.5,13.57,1158066,0
AAL.US,5,20200813,163500,13.5718,13.61,13.48,13.4919,960786,0
AAL.US,5,20200813,164000,13.4979,13.59,13.4848,13.578,629911,0
AAL.US,5,20200813,164500,13.575,13.67,13.56,13.585,916324,0
AAL.US,5,20200813,165000,13.5866,13.64,13.565,13.62,463676,0
AAL.US,5,20200813,165500,13.63,13.64,13.57,13.5763,362865,0
AAL.US,5,20200813,170000,13.5701,13.575,13.49,13.5025,726499,0
AAL.US,5,20200813,170500,13.505,13.51,13.4281,13.445,620881,0
AAL.US,5,20200813,171000,13.45,13.51,13.44,13.495,456794,0
AAL.US,5,20200813,171500,13.4981,13.52,13.38,13.39,579921,0
AAL.US,5,20200813,172000,13.39,13.43,13.36,13.3633,533934,0
AAL.US,5,20200813,172500,13.365,13.46,13.35,13.425,533687,0
AAL.US,5,20200813,173000,13.425,13.47,13.4131,13.4131,311945,0
AAL.US,5,20200813,173500,13.419,13.49,13.419,13.46,387214,0
AAL.US,5,20200813,174000,13.47,13.5,13.46,13.465,482564,0
AAL.US,5,20200813,174500,13.46,13.48,13.44,13.48,290694,0
AAL.US,5,20200813,175000,13.48,13.54,13.4783,13.54,462914,0
AAL.US,5,20200813,175500,13.5334,13.595,13.53,13.543,610270,0
AAL.US,5,20200813,180000,13.545,13.56,13.4719,13.5051,462656,0
AAL.US,5,20200813,180500,13.505,13.52,13.46,13.4923,291448,0
AAL.US,5,20200813,181000,13.4901,13.5,13.47,13.49,232260,0
AAL.US,5,20200813,181500,13.4992,13.51,13.45,13.46,287683,0
AAL.US,5,20200813,182000,13.46,13.48,13.44,13.4784,257278,0
AAL.US,5,20200813,182500,13.475,13.5,13.45,13.485,320861,0
AAL.US,5,20200813,183000,13.485,13.5,13.45,13.45,193420,0
AAL.US,5,20200813,183500,13.45,13.4677,13.435,13.451,288752,0
AAL.US,5,20200813,184000,13.455,13.46,13.41,13.415,241238,0
AAL.US,5,20200813,184500,13.415,13.44,13.41,13.433,258748,0
AAL.US,5,20200813,185000,13.4342,13.455,13.4,13.4,338016,0
AAL.US,5,20200813,185500,13.4002,13.41,13.38,13.3899,273267,0
AAL.US,5,20200813,190000,13.388,13.44,13.3801,13.42,365573,0
AAL.US,5,20200813,190500,13.42,13.47,13.41,13.4625,164448,0
AAL.US,5,20200813,191000,13.465,13.49,13.43,13.4569,239316,0
AAL.US,5,20200813,191500,13.455,13.46,13.42,13.4201,165409,0
AAL.US,5,20200813,192000,13.426,13.46,13.42,13.435,201287,0
AAL.US,5,20200813,192500,13.435,13.46,13.43,13.445,231451,0
AAL.US,5,20200813,193000,13.447,13.46,13.39,13.4,252957,0
AAL.US,5,20200813,193500,13.3952,13.3975,13.37,13.38,278437,0
AAL.US,5,20200813,194000,13.3781,13.38,13.32,13.345,551270,0
AAL.US,5,20200813,194500,13.35,13.39,13.34,13.38,327905,0
AAL.US,5,20200813,195000,13.38,13.38,13.35,13.355,156928,0
AAL.US,5,20200813,195500,13.3533,13.38,13.35,13.3503,228676,0
AAL.US,5,20200813,200000,13.35,13.42,13.35,13.405,258619,0
AAL.US,5,20200813,200500,13.405,13.41,13.38,13.39,210851,0
AAL.US,5,20200813,201000,13.3881,13.4,13.38,13.4,128359,0
AAL.US,5,20200813,201500,13.395,13.42,13.38,13.395,210544,0
AAL.US,5,20200813,202000,13.395,13.3981,13.31,13.32,466285,0
AAL.US,5,20200813,202500,13.3225,13.34,13.3,13.31,527006,0
AAL.US,5,20200813,203000,13.315,13.32,13.3,13.3119,250301,0
AAL.US,5,20200813,203500,13.3181,13.32,13.25,13.27,525420,0
AAL.US,5,20200813,204000,13.27,13.32,13.265,13.2997,409311,0
AAL.US,5,20200813,204500,13.3,13.33,13.275,13.2799,296754,0
AAL.US,5,20200813,205000,13.285,13.315,13.235,13.305,472392,0
AAL.US,5,20200813,205500,13.305,13.33,13.28,13.285,365300,0
AAL.US,5,20200813,210000,13.285,13.32,13.28,13.2935,250444,0
AAL.US,5,20200813,210500,13.295,13.34,13.29,13.33,230042,0
AAL.US,5,20200813,211000,13.32,13.33,13.3,13.305,167388,0
AAL.US,5,20200813,211500,13.305,13.35,13.3,13.335,295070,0
AAL.US,5,20200813,212000,13.34,13.38,13.34,13.3681,276286,0
AAL.US,5,20200813,212500,13.365,13.37,13.31,13.3281,459791,0
AAL.US,5,20200813,213000,13.33,13.33,13.28,13.315,579530,0
AAL.US,5,20200813,213500,13.31,13.33,13.3,13.305,297709,0
AAL.US,5,20200813,214000,13.3058,13.33,13.295,13.305,329549,0
AAL.US,5,20200813,214500,13.305,13.31,13.27,13.2955,341272,0
AAL.US,5,20200813,215000,13.29,13.3,13.26,13.285,604282,0
AAL.US,5,20200813,215500,13.285,13.3,13.27,13.3,1346802,0
AAL.US,5,20200814,153000,13.11,13.329,13.01,13.27,2252375,0
AAL.US,5,20200814,153500,13.27,13.3,13.05,13.0857,1271576,0
AAL.US,5,20200814,154000,13.09,13.165,13.07,13.1481,646413,0
AAL.US,5,20200814,154500,13.1406,13.21,13.1,13.1419,844473,0
AAL.US,5,20200814,155000,13.145,13.2,13.1,13.1999,762421,0
AAL.US,5,20200814,155500,13.1973,13.2,13.13,13.1899,556136,0
AAL.US,5,20200814,160000,13.1852,13.26,13.1852,13.2225,1002188,0
AAL.US,5,20200814,160500,13.23,13.2875,13.19,13.265,704956,0
AAL.US,5,20200814,161000,13.2681,13.3,13.23,13.245,671071,0
AAL.US,5,20200814,161500,13.2439,13.4,13.24,13.37,1455487,0
AAL.US,5,20200814,162000,13.3601,13.52,13.35,13.515,1597142,0
AAL.US,5,20200814,162500,13.5181,13.56,13.4301,13.55,1687124,0
AAL.US,5,20200814,163000,13.5538,13.5599,13.41,13.42,1267368,0
AAL.US,5,20200814,163500,13.42,13.47,13.38,13.405,1029998,0
AAL.US,5,20200814,164000,13.405,13.42,13.31,13.3305,736952,0
AAL.US,5,20200814,164500,13.3381,13.44,13.3301,13.415,844359,0
AAL.US,5,20200814,165000,13.4199,13.43,13.32,13.3497,656389,0
AAL.US,5,20200814,165500,13.3499,13.43,13.33,13.3999,631475,0
AAL.US,5,20200814,170000,13.39,13.42,13.36,13.3854,353966,0
AAL.US,5,20200814,170500,13.3801,13.4,13.35,13.3519,341608,0
AAL.US,5,20200814,171000,13.3511,13.37,13.33,13.3535,429572,0
AAL.US,5,20200814,171500,13.355,13.47,13.3308,13.445,701415,0
AAL.US,5,20200814,172000,13.445,13.475,13.4,13.4021,534589,0
AAL.US,5,20200814,172500,13.405,13.43,13.39,13.4099,324904,0
AAL.US,5,20200814,173000,13.405,13.42,13.36,13.38,287033,0
AAL.US,5,20200814,173500,13.375,13.4201,13.355,13.4201,382971,0
AAL.US,5,20200814,174000,13.43,13.435,13.375,13.4184,347956,0
AAL.US,5,20200814,174500,13.4142,13.43,13.37,13.395,270274,0
AAL.US,5,20200814,175000,13.3999,13.41,13.36,13.36,236582,0
AAL.US,5,20200814,175500,13.365,13.4,13.36,13.395,336753,0
AAL.US,5,20200814,180000,13.395,13.41,13.39,13.4,280698,0
AAL.US,5,20200814,180500,13.395,13.4,13.33,13.345,426290,0
AAL.US,5,20200814,181000,13.3499,13.36,13.32,13.345,367598,0
AAL.US,5,20200814,181500,13.345,13.38,13.33,13.3641,174497,0
AAL.US,5,20200814,182000,13.3699,13.37,13.32,13.325,233459,0
AAL.US,5,20200814,182500,13.32,13.34,13.32,13.324,251641,0
AAL.US,5,20200814,183000,13.3299,13.3299,13.26,13.29,541357,0
AAL.US,5,20200814,183500,13.2833,13.3,13.25,13.255,316934,0
AAL.US,5,20200814,184000,13.255,13.27,13.21,13.22,443939,0
AAL.US,5,20200814,184500,13.225,13.25,13.2,13.245,436946,0
AAL.US,5,20200814,185000,13.245,13.255,13.22,13.2275,259564,0
AAL.US,5,20200814,185500,13.23,13.23,13.21,13.22,262701,0
AAL.US,5,20200814,190000,13.225,13.29,13.21,13.2567,333600,0
AAL.US,5,20200814,190500,13.255,13.2984,13.25,13.285,259772,0
AAL.US,5,20200814,191000,13.29,13.31,13.27,13.27,242391,0
AAL.US,5,20200814,191500,13.27,13.28,13.23,13.2399,309671,0
